header,content,tags,visits,comments,post_time,relative_url
"Мэддисон: ""Это был настоящий ""Тоттенхэм""","Полузащитник ""Тоттенхэма"" Джеймс Мэддисон заявил, что в победном матче против ""Манчестер Сити"" его команда предстала в своем истинном обличии.,В субботу ""Тоттенхэм"" одержал сенсационную победу на ""Этихад"" со счетом 0:4, и Мэддисон хочет, чтобы этот матч стал ориентиром в плане уровня игры для его команды.,""Это был настоящий ""Тоттенхэм"" сегодня. Тот, которым мы стремимся быть. У нас было немного всего. Мы высоко прессинговали, глубоко оборонялись, полагались на своего голкипера, играли в блок, забили на контратаке, были смелыми"".,""Эти 90 минут — то, каким мы хотим видеть ""Тоттенхэм"", хотим видеть более стабильно. Это хороший ориентир, чтобы хорошо провести период около Рождества"", — цитирует Мэддисона Sky Sports.,17:00,19:30,23:00,23:00,23:00","Манчестер Сити,Мэддисон,Премьер-Лига,Тоттенхэм",2423,5,24.11.2024,/posts/111393/
"Джордан рассказал, как собрал тачку с монетами для выплаты штрафа FA","Бывший президент ""Кристал Пэлас"" Саймон Джордан рассказал, как он решил выплатить наложенный на него штраф FA монетами в 1 фунт.,Ранее в своей карьере Джордан, когда ему было 32 года, стал самым молодым владельцем и президентом клуба Премьер-Лиги.,В 2005 году FA оштрафовала Джордана на 10,000 фунтов за комментарии в газете, но попытка Саймона поиздеваться над Ассоциацией провалилась.,""Когда FA оштрафовала меня на 10,000 фунтов, я пообещал привезти эту сумму на тачке монетами в фунт"".,""Затем они заморозили штраф, и я остался с монетами в фунт на 10,000. Я не знал, что с этим делать"", — сообщил Джордан в эфире talkSPORT.,17:00,19:30,23:00,23:00,23:00","Джордан,Кристал Пэлас",2215,4,24.11.2024,/posts/111396/
"""Юнайтед"" составил шорт-лист из трех левых вингбеков","""Манчестер Юнайтед"" составил шорт-лист из трех левых вингбеков.,Новый главный тренер ""Юнайтед"" Рубен Аморим предпочитает играть по схеме 3-4-3 или ее вариациям, а на Люка Шоу или Тирелла Маласиа он положиться никак не может из-за бесконечных проблем обоих со здоровьем.,Поэтому, сообщает Daily Mirror, ""Юнайтед"" собирается пригласить игрока, на которого Аморим сможет рассчитывать каждую неделю и который является специалистом по игре на левом фланге по схеме Рубена.,В данный момент шорт-лист ""Юнайтед"" среди левых вингбеков включает в себя Альфонсо Дэвиса из ""Баварии"", Альваро Фернандеса из ""Бенфики"" и Милоша Керкеза из ""Борнмута"".,Дэвис может стать свободным агентом в конце сезона, однако на него претендуют некоторые другие топ-клубы Европы, а Керкеза также хотят ""Ливерпуль"" и ""Челси"". В то же время ""Юнайтед"" принадлежит опция обратного выкупа Фернандеса за 16.7 млн. фунтов.,17:00,19:30,23:00,23:00,23:00",Манчестер Юнайтед,3300,1,24.11.2024,/posts/111395/
12-й тур Премьер-Лиги. Анонс матчей воскресенья,"В воскресенье, 24 октября, двумя поединками продолжится 12-й тур Премьер-Лиги. Предлагаем вашему вниманию анонс этих матчей.,17:00,,""Саутгемптон"" может стать восьмой в истории командой, проигравшей 10 из 12 первых матчей в сезоне высшего английского дивизиона, причем семь предыдущих все вылетели. В рамках Премьер-Лиги ""Ливерпуль"" терял очки в каждом из четырех последних выездов к победителю финала плей-офф Чемпионшипа предыдущего сезона. ""Святые"" одержали лишь одну победу в 14 последних встречах с ""красными"" в Премьер-Лиге — 0:1 на ""Энфилде"" в январе 2021 (3 ничьи, 10 поражений).,В этот международный перерыв ""Саутгемптон"" потерял с травмами Аарона Рамсдейла и Яна Беднарека дополнительно к уже отсутствующим Гэвину Базуну, Уиллу Смоллбоуну и Россу Стюарту. Флинн Даунс и Райан Фрэйзер должны вернуться в строй.,Защитник ""Ливерпуля"" Трент Александер-Арнольд пока не возобновил тренировки после травмы задней поверхности бедра. Виргил Ван Дейк в порядке, несмотря на досрочное возвращение из сборной Голландии. Алиссон, Федерико Кьеза и Диогу Жота по-прежнему недоступны.,19:30,,""Ипсвич"" — единственная в Премьер-Лиге команда, которая еще не побеждала дома в этом сезоне (3 ничьи, 2 поражения). ""Манчестер Юнайтед"" выиграл только два из 13 последних выездных матчей во всех соревнованиях (6 ничьих, 5 поражений). ""Красные дьяволы"" одержали четыре победы в пяти последних встречах с ""трактористами"" в высшем дивизионе, пропустив лишь один гол.,Полузащитник ""Ипсвича"" Калвин Филлипс завершил отбывать свою дисквалификацию, но столкнулся с проблемами со здоровьем. Джефф Херст проведет некоторое время вне игры с повреждением колена. Джейкоб Гривз и Джек Тэйлор могут вернуться в строй. Уэс Бернс и Натан Бродхэд тренировались, несмотря на болячки.,""Юнайтед"" предстоит оценить состояние ряда игроков, включая Лисандро Мартинеса и новичка Лени Йоро. Люк Шоу уже вовсю тренируется, но его форма вызывает вопросы.,17:00,19:30,23:00,23:00,23:00","анонс тура,Премьер-Лига",6711,347,24.11.2024,/posts/111392/
"Слот предупредил насчет класса ""Саутгемптона""","Наставник ""Ливерпуля"" Арне Слот считает, что у ""Саутгемптона"" больше мастерства, чем у большинства команд Эредивизии.,В воскресенье ""Ливерпулю"" предстоит совершить выезд к занимающему последнее место в Премьер-Лиге ""Саутгемптону"", однако Слот чувствует, что ""святым"" по силам шокировать его команду.,Слот проводит параллели с Эредивизией, где он тренировал АЗ и ""Фейеноорд"", и зачастую там разница в классе команд оказывалась слишком большой, чтобы тренер мог повлиять на результат.,""Наибольшая разница в том, что 18 остальных тренеров в Эредивизии обладают планом на матч, стилем игры и всякого рода отличными идеями, но иногда ты противостоишь таким большим командам, что никакой великолепный план не сработает, потому что разница в классе так велика"".,""Саутгемптон"" и им подобные команды обладают игроками, которые могут играть за топ-клубы. Если у вас будет хороший план на матч и хороший игровой стиль, это может реально сработать против нас, ""Манчестер Сити"" или ""Арсенала"". В результате для них это работает лучше, чем для тренеров 16, 17, 18 команд Эредивизии"", — цитирует Слота The Guardian.,17:00,19:30,23:00,23:00,23:00","Ливерпуль,Премьер-Лига,Саутгемптон,Слот",1730,3,24.11.2024,/posts/111398/
"Невилл: ""Сити"" в упадке""","Эксперт Sky Sports Гари Невилл считает, что нынешний ""Манчестер Сити"" находится в упадке.,Накануне ""Сити"" разгромно уступил ""Тоттенхэму"" дома со счетом 0:4, оформив свое пятое поражение подряд с учетом всех соревнований.,Результат субботнего матча Премьер-Лиги на ""Этихад"" только укрепил веру Невилла в то, что команда Хосепа Гвардиолы сдает позиции.,""Мы уже видели, что ""Сити"" иногда проигрывает матчи здесь, но мы редко видели, когда их переигрывают в каждом отношении. Именно это мы наблюдали"".,""Им столь многого не хватает. Я видел такое только в первом сезоне Пепа. Я еще не видел, чтобы они были так плохи, как в последние недели"".,""Пеп надеялся, что международный перерыв будет переломным моментом. Но теперь мое мнение лишь укрепилось, что эта команда ""Сити"" находится в упадке в данный момент времени"".,""Если подумать об их достижениях, это кажется безумием. Но сейчас против них легко играть, и команды испытывают воодушевление, играя против них. Из уязвимости налицо для каждого"", — цитирует Невилла Sky Sports.,17:00,19:30,23:00,23:00,23:00","Манчестер Сити,Невилл",1881,5,24.11.2024,/posts/111399/
"Аморим: ""Я не могу быть тем же парнем, что был Фергюсон""","Главный тренер ""Манчестер Юнайтед"" Рубен Аморим назвал единственную вещь, в которой он будет походить на своего легендарного предшественника сэра Алекса Фергюсона.,Последний раз ""Юнайтед"" выигрывал Премьер-Лигу еще при Фергюсоне в 2013 году. Однако Аморим, пытаясь повторить этот успех, не будет подражать великому шотландцу. Рубен лишь обещает быть таким же требовательным, как сэр Алекс.,""Нет, я пока не разговаривал с ним. У меня не было такой возможности. Сложно скопировать кого-либо, поэтому я должен быть собой"".,""Это клуб, которому нужно побеждать, поэтому мы должны показать это своим игрокам. Но сейчас другие времена. Я не могу быть тем же парнем, что был сэр Алекс Фергюсон"".,""Сейчас другие времена, и у меня должен быть другой подход — но я тоже могу быть требовательным, пускай и с другим подходом. На этом мой фокус"", — цитирует Аморима Daily Mirror.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,тренеры,Фергюсон",1109,6,24.11.2024,/posts/111401/
"Мойес может вернуться в ""Эвертон""","Дэвид Мойес может вернуться на должность главного тренера ""Эвертона"", когда мерсисайдский клуб обретет нового владельца.,Мойес провел 11 успешных лет в ""Эвертоне"", прежде чем стать преемником сэра Алекса Фергюсона в ""Манчестер Юнайтед"" в 2013 году.,Получив в ""Юнайтед"" пятилетний контракт, Мойес не продержался там и одного сезона. С тех пор Дэвид успел поработать с ""Реал Сосьедад"", ""Сандерлендом"" и дважды с ""Вест Хэмом"".,Мойес все еще находится без работы с конца прошлого сезона, когда ""Вест Хэм"" передумал подписывать с Дэвидом новый контракт и пригласил на место 61-летнего шотландца Хулена Лопетеги.,Помочь Мойесу обрести новую работу может американский миллиардер Дэн Фридкин, который завершает приобретение ""Эвертона"" у Фархада Мошири.,Нынешний наставник ""Эвертона"" Шон Дайч выиграл лишь два из 12 матчей в новом сезоне Премьер-Лиге, поэтому Фридкин вынужден задумываться о смене главного тренера, и Daily Mirror утверждает, что Дэн помышляет о возвращении Мойеса.,17:00,19:30,23:00,23:00,23:00","Мойес,тренеры,Эвертон",517,0,24.11.2024,/posts/111402/
"Аморим — о Маунте: ""Я люблю этого парня""","Главный тренер ""Манчестер Юнайтед"" Рубен Аморим выступил с похвалой в адрес полузащитника Мейсона Маунта.,Маунт почти никак себя не проявил в ""Юнайтед"" после своего перехода из ""Челси"" за 60 миллионов фунтов летом 2023, и у болельщиков существовали опасения, что будущее Мейсона в клубе может оказаться под угрозой с приходом Аморима.,Однако в преддверии своего дебюта Аморим дал ясно понять, что рассчитывает на Маунта и хочет помочь 25-летнему англичанину вернуться в свою лучшую форму.,""Должен сказать вам, я люблю этого парня. Вы можете взглянуть в его глаза и увидеть, что обладает таким отчаянным желанием. И это самое важное для меня"".,""Мне известно, что он страдал от травм, его не было на поле, но сейчас он пытается оставаться в форме, и мы надеемся, он сможет показать весь свой талант, который, к примеру, показывал в ""Челси"", — цитирует Аморима Daily Mirror.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,Маунт",767,3,24.11.2024,/posts/111403/
"""Юнайтед"" проявил интерес к Нуну Мендешу","""Манчестер Юнайтед"" проявил интерес к левому защитнику французского ПСЖ Нуну Мендешу.,Ожидается, что с приходом Рубена Аморима ""Юнайтед"" будет ориентироваться на приглашение игроков, которые подходят для излюбленной схемы нового главного тренера ""красных дьяволов"" 3-4-3.,Мендеш не просто знаком с этой схемой, но и даже играл у Аморима в ""Спортинге"", у которого ПСЖ выкупил Нуну летом 2022 за 31.5 млн. фунтов после сезона аренды.,Мендеш с большим успехом выступает за ПСЖ, выиграв три титула Лиги 1 подряд. 22-летний португалец полюбился французским болельщикам своими подключениями в атаку.,Помимо Мендеша, сообщает Daily Mail, ""Юнайтед"" также следит за Альфонсо Дэвисом, чей контракт с ""Баварией"" истекает в конце сезона.,17:00,19:30,23:00,23:00,23:00","Манчестер Юнайтед,Мендеш,ПСЖ",884,0,24.11.2024,/posts/111400/
